quinquennio;primo_anno;quinto_anno
1995-2000;588402;372728
1996-2001;586231;380211
1997-2002;576434;387806
1998-2003;562444;393974
1999-2004;585496;401984
2000-2005;585351;394144
2001-2006;593010;396725
2002-2007;617309;413596
2003-2008;620897;417736
2004-2009;613388;424143
2005-2010;616645;426651
2006-2011;627166;431424
2007-2012;618343;427015
2008-2013;604995;425553
2009-2014;597915;430832
2010-2015;598747;435158
2011-2016;614302;452568
2012-2017;610468;456038
2013-2018;612675;461120
